taxa,order,PC1,PC2,PC3,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S0062L,173,33.74175,31.471186,23.211777,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062T,174,-62.262184,9.048258,13.464901,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062U,175,5.5470862,11.685579,-8.4670515,NA,NA,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0045M,176,-34.71609,12.04922,6.653479,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005QE,177,44.089115,10.892971,6.141427,41.96783,-90.3832042,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QJ,178,45.52947,15.81958,9.7471695,43.55811,-89.6843,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005QK,179,26.569338,-23.053005,1.0874437,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005QL,180,30.42767,-22.37991,7.266662,33.59772,-88.8122,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QM,181,-23.628824,-33.452785,-11.245276,35.54856,-95.9514,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005QQ,182,31.066324,-20.919624,-2.076604,34.34467,-89.7259,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QR,183,38.08434,-16.72617,-14.003944,41.25269,-94.9856,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QV,184,5.1487384,-31.144434,-0.18823121,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005R0,185,-54.72526,7.3352456,-4.8937473,38.47769,-97.4689,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005R2,186,43.250965,-9.755505,-14.701799,41.22718,-93.5677327,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005R6,187,36.157715,-17.055016,-8.0932045,32.48381,-90.0997,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005R8,188,35.298935,-8.638137,1.349088,41.60749,-91.74554,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005R9,189,-22.466831,-35.524784,-10.346132,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005RE,190,28.049263,-22.592253,1.3973026,33.34633,-89.7495,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RF,191,-31.645916,-14.859047,-0.088022314,36.72819,-95.823,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
